GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
APIMiniBlog,com.mulodo.miniblog.rest.controller,UserController,90,671,27,39,17,162,20,24,0,11
APIMiniBlog,com.mulodo.miniblog.rest.controller,PostController,214,639,43,59,46,142,31,31,1,10
APIMiniBlog,com.mulodo.miniblog.rest.controller,CommentController,85,561,32,42,15,132,22,25,0,10
APIMiniBlog,com.mulodo.miniblog.contraints,Constraints,3,0,0,0,1,0,1,0,1,0
APIMiniBlog,com.mulodo.miniblog.model,Comment,0,63,0,0,0,27,0,14,0,14
APIMiniBlog,com.mulodo.miniblog.model,User,0,123,0,0,0,51,0,22,0,22
APIMiniBlog,com.mulodo.miniblog.model,Token,9,29,0,0,3,13,3,8,3,8
APIMiniBlog,com.mulodo.miniblog.model,Post,4,76,0,0,2,32,1,17,1,17
APIMiniBlog,com.mulodo.miniblog.object,Meta,8,35,0,0,4,12,2,4,2,4
APIMiniBlog,com.mulodo.miniblog.object,Message,4,9,0,0,2,4,1,2,1,2
APIMiniBlog,com.mulodo.miniblog.object,Data,4,62,0,0,2,26,1,18,1,18
APIMiniBlog,com.mulodo.miniblog.dao.impl,CommentDAOImpl,32,404,2,14,7,67,2,11,0,5
APIMiniBlog,com.mulodo.miniblog.dao.impl,PostDAOImpl,58,519,7,27,14,77,7,16,0,6
APIMiniBlog,com.mulodo.miniblog.dao.impl,TokenDAOImpl,24,113,2,2,7,23,2,5,0,5
APIMiniBlog,com.mulodo.miniblog.dao.impl,GenericDAOImpl,75,133,1,3,13,27,1,8,0,7
APIMiniBlog,com.mulodo.miniblog.dao.impl,UserDAOImpl,55,409,7,19,13,63,7,14,0,8
APIMiniBlog,com.mulodo.miniblog.utils,SpringApplicationContext,0,17,0,2,0,6,0,4,0,3
APIMiniBlog,com.mulodo.miniblog.utils,ApplicationContextUtils,29,0,0,0,6,0,6,0,6,0
APIMiniBlog,com.mulodo.miniblog.utils,BuildJSON,3,89,1,15,1,24,2,8,1,1
APIMiniBlog,com.mulodo.miniblog.utils,ValidatorUtils,3,86,1,21,1,23,2,15,1,5
APIMiniBlog,com.mulodo.miniblog.utils,EncrypUtils,6,79,0,4,3,13,1,4,1,2
APIMiniBlog,com.mulodo.miniblog.service.impl,PostServiceImpl,0,181,2,6,0,50,2,8,0,6
APIMiniBlog,com.mulodo.miniblog.service.impl,UserServiceImpl,0,62,0,0,0,14,0,8,0,8
APIMiniBlog,com.mulodo.miniblog.service.impl,TokenServiceImpl,6,26,2,2,2,8,2,5,0,5
APIMiniBlog,com.mulodo.miniblog.service.impl,CommentServiceImpl,0,24,0,0,0,6,0,5,0,5
APIMiniBlog,com.mulodo.miniblog.service.impl,GenericServiceImpl,0,27,0,0,0,7,0,6,0,6
APIMiniBlog,com.mulodo.miniblog.rest.security,SecurityInterceptor,0,247,6,16,0,59,6,8,0,3
APIMiniBlog,com.mulodo.miniblog.connection,ConnectionInterceptor,61,0,0,0,12,0,2,0,2,0
APIMiniBlog,com.mulodo.miniblog.connection,ConnectionReadWrite,7,0,0,0,3,0,2,0,2,0
APIMiniBlog,com.mulodo.miniblog.connection,ConnectionReadOnly,10,0,0,0,4,0,2,0,2,0
APIMiniBlog,com.mulodo.miniblog.validator,UserValidate,18,440,3,65,3,107,4,36,1,5
APIMiniBlog,com.mulodo.miniblog.validator,CommentValidate,17,194,2,26,3,50,3,17,1,5
APIMiniBlog,com.mulodo.miniblog.validator,PostValidate,44,266,6,36,10,68,5,24,1,7
APIMiniBlog,com.mulodo.miniblog.exeption,HandlerException,4,3,0,0,2,2,1,1,1,1
